service_type,main_category,area_name,distance_from_center,time_of_day_minutes,day_of_week,peak_hour,demand_level,weather,final_price
Mirror hanging,Home Assist,Cantt,7.83,245,Friday,1,Medium,Foggy,656
Mirror hanging,Home Assist,Gulberg,4.91,225,Friday,1,High,Sunny,599
Mirror hanging,Home Assist,Androon Lahore,1.11,1073,Sunday,0,Medium,Clear,526
Mirror hanging,Home Assist,Valencia,7.54,1120,Friday,1,Medium,Foggy,629
Mirror hanging,Home Assist,Valencia,6.78,392,Sunday,0,High,Sunny,645
Art hanging,Home Assist,Iqbal Town,3.41,759,Wednesday,0,Medium,Rainy,443
Art hanging,Home Assist,Johar Town,6.74,327,Thursday,1,High,Foggy,482
Art hanging,Home Assist,DHA,3.88,916,Monday,0,Medium,Rainy,517
Art hanging,Home Assist,Township,2.7,237,Thursday,0,High,Rainy,398
Art hanging,Home Assist,Androon Lahore,2.15,159,Tuesday,0,High,Foggy,371
Art hanging,Home Assist,Askari,2.88,584,Monday,0,Medium,Clear,355
Art hanging,Home Assist,DHA,4.93,1398,Friday,0,Low,Foggy,550
Art hanging,Home Assist,Garhi Shahu,4.47,822,Tuesday,1,Low,Clear,365
Art hanging,Home Assist,Johar Town,0.11,755,Sunday,0,Low,Rainy,503
Art hanging,Home Assist,Johar Town,4.94,263,Wednesday,1,Low,Rainy,476
Art hanging,Home Assist,Bahria Town,4.9,622,Saturday,1,Medium,Sunny,481
Art hanging,Home Assist,Garhi Shahu,2.84,1419,Thursday,0,Low,Clear,377
Art hanging,Home Assist,DHA,4.3,796,Monday,1,High,Sunny,543
Art hanging,Home Assist,Androon Lahore,7.9,485,Thursday,0,High,Rainy,355
Art hanging,Home Assist,Askari,5.11,1123,Monday,0,Medium,Clear,382
Art hanging,Home Assist,Cantt,7.15,426,Tuesday,0,High,Clear,491
Art hanging,Home Assist,Iqbal Town,4.71,919,Sunday,0,Low,Foggy,451
Art hanging,Home Assist,Cantt,2.59,10,Thursday,1,Low,Foggy,493
Art hanging,Home Assist,Valencia,4.09,903,Sunday,1,Low,Sunny,457
Art hanging,Home Assist,Cantt,7.17,789,Tuesday,1,High,Foggy,524
Art hanging,Home Assist,Johar Town,7.13,431,Wednesday,1,Low,Sunny,408
Art hanging,Home Assist,Sultanpura,6.17,350,Wednesday,0,Medium,Foggy,506
Art hanging,Home Assist,Gulberg,1.92,297,Friday,1,High,Clear,428
Art hanging,Home Assist,Misri Shah,7.69,1122,Tuesday,0,Medium,Rainy,375
Art hanging,Home Assist,Lake City,5.9,357,Wednesday,1,Medium,Foggy,547
Art hanging,Home Assist,Shadman,5.57,1427,Thursday,1,High,Foggy,415
Art hanging,Home Assist,DHA,0.9,562,Friday,1,Medium,Foggy,542
Art hanging,Home Assist,Garhi Shahu,7.37,203,Friday,0,High,Clear,380
Art hanging,Home Assist,Wapda Town,0.5,808,Saturday,0,Low,Rainy,498
Art hanging,Home Assist,Township,2.13,811,Saturday,1,Medium,Foggy,419
Art hanging,Home Assist,Garden Town,6.99,889,Monday,1,Low,Rainy,438
Art hanging,Home Assist,Valencia,0.86,32,Wednesday,0,Medium,Rainy,410
Art hanging,Home Assist,Bahria Town,6.2,359,Thursday,1,High,Rainy,546
Art hanging,Home Assist,Wapda Town,5.83,684,Wednesday,0,High,Rainy,472
Art hanging,Home Assist,Gulberg,1.23,44,Monday,1,Medium,Sunny,357
Art hanging,Home Assist,Gulberg,1.21,595,Monday,1,Medium,Rainy,513
Art hanging,Home Assist,Iqbal Town,6.74,172,Thursday,1,Low,Sunny,475
Art hanging,Home Assist,Valencia,6.06,1416,Friday,1,Medium,Clear,486
Art hanging,Home Assist,Garden Town,6.63,1392,Wednesday,1,Low,Sunny,413
Art hanging,Home Assist,Misri Shah,5.7,876,Thursday,0,Low,Foggy,398
Art hanging,Home Assist,Wapda Town,0.35,1055,Monday,0,High,Rainy,543
Art hanging,Home Assist,Johar Town,1.48,1392,Wednesday,0,High,Rainy,371
Art hanging,Home Assist,Cantt,7.07,611,Thursday,0,Low,Sunny,533
Art hanging,Home Assist,Sultanpura,3.78,363,Monday,0,High,Sunny,367
Art hanging,Home Assist,Sultanpura,4.1,1435,Monday,0,Medium,Clear,506
Art hanging,Home Assist,Wapda Town,1.36,472,Monday,0,Low,Rainy,454
Art hanging,Home Assist,Model Town,3.42,263,Thursday,1,Medium,Sunny,529
Art hanging,Home Assist,Sultanpura,7.85,983,Monday,0,Low,Sunny,401
Art hanging,Home Assist,Sultanpura,1.23,1060,Friday,0,Low,Clear,465
Art hanging,Home Assist,Township,5.34,541,Saturday,0,High,Sunny,367
Art hanging,Home Assist,Shadman,6.66,491,Tuesday,0,High,Sunny,417
Art hanging,Home Assist,Garden Town,1.58,1183,Sunday,1,Medium,Rainy,397
Art hanging,Home Assist,Lake City,7.5,215,Friday,1,Medium,Rainy,514
Art hanging,Home Assist,Township,3.46,221,Friday,0,Medium,Sunny,508
Art hanging,Home Assist,Wapda Town,2.56,340,Tuesday,0,Medium,Foggy,485
Art hanging,Home Assist,Garden Town,3.71,394,Saturday,0,Low,Clear,534
Art hanging,Home Assist,Wapda Town,2.13,153,Sunday,0,Medium,Rainy,503
Art hanging,Home Assist,DHA,5.66,0,Sunday,1,Medium,Foggy,497
Art hanging,Home Assist,Garden Town,0.67,31,Sunday,0,High,Sunny,354
Art hanging,Home Assist,Gulberg,7.77,372,Sunday,0,Low,Rainy,424
Art hanging,Home Assist,Gulberg,0.85,642,Monday,0,Medium,Sunny,497
Art hanging,Home Assist,Wapda Town,1.96,505,Thursday,0,Low,Foggy,430
Art hanging,Home Assist,Township,6.2,1091,Saturday,0,Medium,Foggy,484
Art hanging,Home Assist,Wapda Town,6.12,574,Sunday,1,Medium,Rainy,463
Art hanging,Home Assist,Wapda Town,6.56,664,Tuesday,1,High,Clear,430
Art hanging,Home Assist,Gulberg,3.6,1046,Thursday,0,Medium,Clear,444
Art hanging,Home Assist,Johar Town,4.71,367,Thursday,1,Medium,Rainy,370
Art hanging,Home Assist,Androon Lahore,1.62,1239,Tuesday,0,High,Sunny,367
Art hanging,Home Assist,Garden Town,0.92,1069,Sunday,1,Low,Foggy,550
Art hanging,Home Assist,Sultanpura,1.81,769,Tuesday,1,Medium,Clear,405
Art hanging,Home Assist,Cantt,3.21,1072,Saturday,1,High,Foggy,550
Art hanging,Home Assist,Cantt,6.37,154,Tuesday,0,High,Foggy,491
Art hanging,Home Assist,Garhi Shahu,3.01,364,Thursday,0,Medium,Rainy,392
Art hanging,Home Assist,Iqbal Town,2.22,329,Monday,0,Low,Foggy,357
Art hanging,Home Assist,Garhi Shahu,3.76,1288,Tuesday,0,Medium,Clear,390
Art hanging,Home Assist,Model Town,2.68,194,Wednesday,0,Medium,Clear,523
Art hanging,Home Assist,Township,4.6,29,Saturday,1,High,Clear,400
Art hanging,Home Assist,Androon Lahore,1.97,289,Sunday,1,Low,Clear,408
Art hanging,Home Assist,Bahria Town,5.59,146,Tuesday,1,Low,Rainy,456
Art hanging,Home Assist,Garhi Shahu,2.81,1435,Sunday,1,High,Sunny,409
Art hanging,Home Assist,Lake City,7.39,586,Thursday,0,Low,Sunny,493
Art hanging,Home Assist,Misri Shah,6.4,430,Saturday,1,Low,Clear,388
Art hanging,Home Assist,Shadman,6.65,472,Saturday,1,Low,Sunny,375
Art hanging,Home Assist,Cantt,1.39,1432,Monday,0,Medium,Sunny,549
Art hanging,Home Assist,Cantt,4.95,933,Saturday,0,Medium,Foggy,545
Art hanging,Home Assist,Cantt,1.16,70,Saturday,1,Medium,Foggy,525
Art hanging,Home Assist,Askari,5.6,185,Tuesday,1,Low,Sunny,466
Art hanging,Home Assist,Sultanpura,2.02,684,Saturday,1,High,Clear,475
Art hanging,Home Assist,Wapda Town,7.97,1055,Thursday,1,Low,Sunny,424
Art hanging,Home Assist,Gulberg,0.45,114,Tuesday,0,High,Sunny,451
Art hanging,Home Assist,Gulberg,6.89,423,Wednesday,0,Medium,Clear,529
Art hanging,Home Assist,Township,6.86,730,Friday,1,Medium,Clear,485
Art hanging,Home Assist,Garhi Shahu,4.82,415,Tuesday,0,Low,Sunny,375
Art hanging,Home Assist,Wapda Town,2.41,292,Friday,1,Low,Clear,376
Art hanging,Home Assist,Sultanpura,5.75,152,Tuesday,0,Low,Foggy,386
Art hanging,Home Assist,DHA,7.16,1410,Sunday,1,High,Foggy,543
Art hanging,Home Assist,Lake City,2.53,550,Tuesday,1,High,Rainy,497
Art hanging,Home Assist,Bahria Town,2.75,559,Thursday,1,High,Rainy,495
Art hanging,Home Assist,Lake City,7.45,616,Thursday,1,Medium,Rainy,545
Art hanging,Home Assist,Cantt,0.77,694,Tuesday,1,High,Foggy,532
Install Curtain Rods,Home Assist,Garden Town,7.95,692,Friday,0,High,Foggy,598
Install Curtain Rods,Home Assist,Androon Lahore,2.84,127,Wednesday,0,Medium,Rainy,552
Install Curtain Rods,Home Assist,Garden Town,0.64,113,Tuesday,0,High,Foggy,702
Install Curtain Rods,Home Assist,Model Town,7.7,178,Monday,1,Low,Clear,746
Install Curtain Rods,Home Assist,Johar Town,0.27,1165,Sunday,0,Medium,Clear,739
Install Curtain Rods,Home Assist,Wapda Town,2.74,701,Wednesday,0,High,Rainy,747
Install Curtain Rods,Home Assist,Misri Shah,6.78,862,Tuesday,0,Medium,Clear,553
Install Curtain Rods,Home Assist,Lake City,6.97,186,Thursday,1,Low,Rainy,740
Install Curtain Rods,Home Assist,Androon Lahore,4.6,929,Monday,1,Low,Clear,572
Install Curtain Rods,Home Assist,Gulberg,6.03,740,Tuesday,1,High,Rainy,750
Install Curtain Rods,Home Assist,Gulberg,6.07,1171,Friday,0,High,Rainy,691
Install Curtain Rods,Home Assist,Askari,4.28,702,Wednesday,1,Medium,Sunny,660
Install Curtain Rods,Home Assist,Askari,2.85,1345,Monday,0,High,Sunny,567
Install Curtain Rods,Home Assist,Township,3.18,80,Friday,0,Medium,Sunny,568
Install Curtain Rods,Home Assist,Garden Town,6.7,1358,Sunday,1,Low,Rainy,560
Install Curtain Rods,Home Assist,DHA,0.3,677,Wednesday,1,Medium,Sunny,727
Install Curtain Rods,Home Assist,Iqbal Town,0.13,135,Monday,0,High,Foggy,660
Install Curtain Rods,Home Assist,Johar Town,0.86,1366,Wednesday,0,Low,Clear,685
Install Curtain Rods,Home Assist,Township,4.41,152,Saturday,1,Low,Clear,556
Install Curtain Rods,Home Assist,Township,2.53,1104,Saturday,0,High,Sunny,705
Install Curtain Rods,Home Assist,Iqbal Town,5.79,33,Monday,1,Medium,Clear,632
Install Curtain Rods,Home Assist,Gulberg,0.84,150,Thursday,0,High,Rainy,682
Install Curtain Rods,Home Assist,Garden Town,5.87,70,Wednesday,1,Medium,Sunny,657
Install Curtain Rods,Home Assist,Model Town,2.42,367,Friday,0,High,Clear,714
Install Curtain Rods,Home Assist,Valencia,3.53,411,Sunday,1,High,Sunny,587
Install Curtain Rods,Home Assist,Askari,5.49,922,Saturday,0,High,Clear,651
Install Curtain Rods,Home Assist,Androon Lahore,5.62,528,Saturday,0,High,Clear,582
Install Curtain Rods,Home Assist,Misri Shah,7.11,1181,Friday,1,Low,Sunny,605
Install Curtain Rods,Home Assist,Johar Town,7.69,1107,Tuesday,1,Medium,Rainy,642
Install Curtain Rods,Home Assist,Valencia,4.2,1195,Saturday,1,High,Foggy,561
Install Curtain Rods,Home Assist,Misri Shah,2.2,1023,Sunday,1,Medium,Sunny,562
Install Curtain Rods,Home Assist,Bahria Town,2.89,204,Monday,1,Low,Sunny,655
Install Curtain Rods,Home Assist,Cantt,2.99,403,Tuesday,0,High,Rainy,715
Install Curtain Rods,Home Assist,Gulberg,7.96,964,Friday,1,High,Sunny,606
Install Curtain Rods,Home Assist,Wapda Town,3.83,1354,Saturday,1,High,Rainy,660
Install Curtain Rods,Home Assist,Iqbal Town,3.95,1317,Sunday,1,Medium,Clear,599
Install Curtain Rods,Home Assist,Shadman,2.12,71,Monday,0,High,Foggy,710
Install Curtain Rods,Home Assist,Askari,1.21,913,Sunday,0,Medium,Rainy,728
Install Curtain Rods,Home Assist,Gulberg,3.6,398,Friday,0,Low,Clear,631
Install Curtain Rods,Home Assist,Garden Town,0.26,1385,Thursday,1,High,Clear,557
Install Curtain Rods,Home Assist,Androon Lahore,7.55,1371,Thursday,1,Medium,Clear,584
Install Curtain Rods,Home Assist,Wapda Town,2.86,477,Wednesday,0,Medium,Rainy,654
Install Curtain Rods,Home Assist,Shadman,3.76,50,Monday,0,Low,Sunny,617
Install Curtain Rods,Home Assist,Gulberg,0.26,1127,Wednesday,1,Low,Foggy,673
Install Curtain Rods,Home Assist,Misri Shah,6.3,1246,Wednesday,0,Medium,Foggy,558
Install Curtain Rods,Home Assist,Cantt,1.88,488,Tuesday,0,Low,Rainy,749
Install Curtain Rods,Home Assist,Shadman,2.91,1437,Friday,1,High,Rainy,657
Install Curtain Rods,Home Assist,Misri Shah,4.22,367,Friday,0,Low,Sunny,586
Install Curtain Rods,Home Assist,Garhi Shahu,6.83,535,Sunday,1,Medium,Clear,576
Install Curtain Rods,Home Assist,Garden Town,6.52,642,Friday,1,Low,Sunny,576
Install Curtain Rods,Home Assist,Lake City,2.21,535,Friday,0,High,Clear,732
Install Curtain Rods,Home Assist,DHA,3.66,1436,Thursday,1,High,Sunny,698
Install Curtain Rods,Home Assist,Wapda Town,3.62,990,Wednesday,0,Medium,Clear,612
Install Curtain Rods,Home Assist,Gulberg,4.17,1113,Monday,0,High,Clear,687
Install Curtain Rods,Home Assist,Valencia,2.06,786,Saturday,1,Low,Rainy,585
Install Curtain Rods,Home Assist,Wapda Town,6.83,838,Thursday,1,Medium,Foggy,572
Install Curtain Rods,Home Assist,Johar Town,0.91,910,Wednesday,0,Medium,Foggy,651
Install Curtain Rods,Home Assist,Wapda Town,6.46,478,Monday,1,High,Clear,631
Install Curtain Rods,Home Assist,Garden Town,7.62,1001,Sunday,1,Medium,Sunny,558
Install Curtain Rods,Home Assist,DHA,1.88,668,Saturday,1,High,Clear,697
Install Curtain Rods,Home Assist,Garden Town,1.29,402,Wednesday,0,Low,Rainy,735
Install Curtain Rods,Home Assist,DHA,7.54,1300,Wednesday,1,Low,Sunny,692
Install Curtain Rods,Home Assist,Sultanpura,4.11,545,Thursday,1,Low,Rainy,688
Install Curtain Rods,Home Assist,Misri Shah,0.83,1079,Wednesday,0,Low,Rainy,608
Install Curtain Rods,Home Assist,Johar Town,7.95,179,Thursday,0,Medium,Foggy,729
Install Curtain Rods,Home Assist,Sultanpura,3.56,1209,Friday,1,Low,Rainy,662
Install Curtain Rods,Home Assist,Lake City,7.14,982,Saturday,0,Medium,Rainy,740
Install Curtain Rods,Home Assist,Androon Lahore,7.57,1244,Thursday,1,Medium,Sunny,577
Install Curtain Rods,Home Assist,Garden Town,3.04,36,Friday,1,High,Sunny,659
Install Curtain Rods,Home Assist,Sultanpura,6.21,198,Tuesday,0,Medium,Rainy,623
Install Curtain Rods,Home Assist,Iqbal Town,4.24,78,Monday,1,High,Clear,743
Install Curtain Rods,Home Assist,Askari,7.1,178,Wednesday,0,Medium,Rainy,667
Install Curtain Rods,Home Assist,Valencia,6.13,776,Tuesday,0,Medium,Clear,578
Install Curtain Rods,Home Assist,Androon Lahore,7.7,936,Tuesday,0,High,Foggy,594
Install Curtain Rods,Home Assist,Cantt,3.24,85,Wednesday,0,Medium,Foggy,743
Install Curtain Rods,Home Assist,Valencia,0.39,820,Saturday,1,Low,Foggy,586
Install Curtain Rods,Home Assist,Cantt,4.0,1357,Monday,1,Medium,Rainy,728
Install Curtain Rods,Home Assist,Cantt,6.15,1306,Tuesday,1,High,Rainy,741
Install Curtain Rods,Home Assist,Wapda Town,4.4,245,Tuesday,0,Low,Sunny,733
Install Curtain Rods,Home Assist,Model Town,1.21,19,Friday,1,Low,Sunny,732
Install Curtain Rods,Home Assist,Misri Shah,6.09,599,Tuesday,1,High,Foggy,552
Install Curtain Rods,Home Assist,Sultanpura,6.55,927,Saturday,0,High,Sunny,681
Install Curtain Rods,Home Assist,Model Town,2.8,758,Thursday,0,Medium,Foggy,709
Install Curtain Rods,Home Assist,Shadman,2.58,318,Saturday,0,Low,Foggy,747
Install Curtain Rods,Home Assist,Gulberg,3.37,1020,Sunday,1,Low,Foggy,622
Install Curtain Rods,Home Assist,Misri Shah,1.47,445,Monday,0,Medium,Foggy,562
Install Curtain Rods,Home Assist,Cantt,1.93,656,Thursday,0,High,Sunny,715
Install Curtain Rods,Home Assist,Wapda Town,2.47,814,Friday,1,High,Clear,669
Install Curtain Rods,Home Assist,Wapda Town,4.98,732,Monday,0,Low,Foggy,621
Install Curtain Rods,Home Assist,Cantt,7.7,1260,Wednesday,0,Low,Foggy,704
Install Curtain Rods,Home Assist,Shadman,2.67,1370,Thursday,1,Low,Clear,607
Install Curtain Rods,Home Assist,Garden Town,1.64,244,Tuesday,1,Low,Rainy,569
Install Curtain Rods,Home Assist,Wapda Town,3.72,1281,Wednesday,1,Medium,Rainy,581
Install Curtain Rods,Home Assist,Garden Town,0.91,815,Friday,0,Medium,Foggy,733
Install Curtain Rods,Home Assist,Sultanpura,1.46,335,Monday,1,High,Rainy,675
Install Curtain Rods,Home Assist,Androon Lahore,1.12,882,Saturday,0,High,Clear,574
Install Curtain Rods,Home Assist,Garhi Shahu,4.43,55,Sunday,1,Low,Sunny,561
Install Curtain Rods,Home Assist,Sultanpura,5.41,507,Saturday,0,Low,Sunny,679
Install Curtain Rods,Home Assist,Iqbal Town,4.32,102,Wednesday,1,High,Clear,574
Install Curtain Rods,Home Assist,Lake City,1.3,264,Thursday,0,High,Rainy,749
Install Shelfs,Home Assist,Valencia,2.4,1043,Saturday,1,High,Sunny,696
Install Shelfs,Home Assist,Wapda Town,5.15,327,Monday,0,High,Rainy,702
Install Shelfs,Home Assist,Valencia,5.04,708,Saturday,0,High,Sunny,851
Install Shelfs,Home Assist,Sultanpura,4.44,1082,Thursday,0,High,Foggy,699
Install Shelfs,Home Assist,Sultanpura,7.37,276,Thursday,1,High,Clear,750
Install Shelfs,Home Assist,Wapda Town,4.1,1290,Sunday,0,Medium,Sunny,856
Install Shelfs,Home Assist,Bahria Town,5.28,504,Tuesday,0,Low,Foggy,789
Install Shelfs,Home Assist,Iqbal Town,4.94,417,Monday,1,High,Rainy,742
Install Shelfs,Home Assist,Shadman,1.08,115,Wednesday,0,Medium,Clear,792
Install Shelfs,Home Assist,Lake City,0.93,1332,Sunday,0,Medium,Rainy,868
Install Shelfs,Home Assist,Sultanpura,6.93,910,Saturday,0,High,Foggy,852
Install Shelfs,Home Assist,Valencia,0.44,531,Saturday,1,Low,Clear,798
Install Shelfs,Home Assist,Gulberg,6.21,1252,Wednesday,1,Medium,Sunny,786
Install Shelfs,Home Assist,Gulberg,1.57,142,Friday,0,High,Sunny,818
Install Shelfs,Home Assist,Lake City,4.48,413,Saturday,0,High,Foggy,842
Install Shelfs,Home Assist,Androon Lahore,5.71,1210,Thursday,1,High,Sunny,725
Install Shelfs,Home Assist,Iqbal Town,6.89,1018,Friday,1,High,Sunny,770
Install Shelfs,Home Assist,Iqbal Town,5.75,1262,Sunday,0,Low,Foggy,741
Install Shelfs,Home Assist,Wapda Town,1.83,405,Wednesday,0,Medium,Sunny,872
Install Shelfs,Home Assist,Gulberg,1.7,793,Tuesday,0,Medium,Clear,876
Install Shelfs,Home Assist,Misri Shah,4.3,1418,Friday,0,High,Clear,728
Install Shelfs,Home Assist,Androon Lahore,5.11,437,Sunday,1,Medium,Foggy,708
Install Shelfs,Home Assist,Iqbal Town,1.55,963,Sunday,0,Low,Rainy,862
Install Shelfs,Home Assist,Model Town,5.29,155,Wednesday,0,Low,Clear,853
Install Shelfs,Home Assist,Valencia,0.16,93,Tuesday,0,High,Rainy,885
Install Shelfs,Home Assist,Lake City,5.68,400,Sunday,1,High,Foggy,871
Install Shelfs,Home Assist,Valencia,1.18,1159,Wednesday,1,High,Rainy,738
Install Shelfs,Home Assist,Androon Lahore,0.53,59,Tuesday,1,Medium,Clear,740
Install Shelfs,Home Assist,Valencia,5.55,1080,Wednesday,0,Medium,Rainy,754
Install Shelfs,Home Assist,Sultanpura,1.42,1098,Sunday,1,Medium,Foggy,813
Install Shelfs,Home Assist,Askari,3.19,801,Saturday,0,Low,Clear,871
Install Shelfs,Home Assist,Askari,6.83,879,Thursday,1,Medium,Foggy,883
Install Shelfs,Home Assist,Askari,5.81,409,Thursday,1,Medium,Foggy,739
Install Shelfs,Home Assist,Cantt,5.56,316,Monday,1,Medium,Foggy,846
Install Shelfs,Home Assist,Misri Shah,6.74,1089,Thursday,0,High,Rainy,729
Install Shelfs,Home Assist,Androon Lahore,2.27,189,Thursday,0,Low,Sunny,714
Install Shelfs,Home Assist,Valencia,2.94,21,Monday,1,High,Foggy,794
Install Shelfs,Home Assist,Askari,7.73,922,Friday,0,High,Rainy,814
Install Shelfs,Home Assist,Misri Shah,0.41,166,Thursday,0,Low,Foggy,710
Install Shelfs,Home Assist,Androon Lahore,7.22,145,Tuesday,0,High,Clear,701
Install Shelfs,Home Assist,Askari,3.48,234,Thursday,1,Medium,Rainy,761
Install Shelfs,Home Assist,Sultanpura,5.79,353,Tuesday,0,Low,Rainy,825
Install Shelfs,Home Assist,Shadman,4.58,284,Monday,1,High,Clear,734
Install Shelfs,Home Assist,Garhi Shahu,1.45,850,Saturday,1,High,Sunny,704
Install Shelfs,Home Assist,Valencia,4.37,327,Monday,0,Low,Clear,811
Install Shelfs,Home Assist,Valencia,4.28,516,Tuesday,0,Low,Clear,847
Install Shelfs,Home Assist,Wapda Town,1.28,892,Thursday,0,Low,Sunny,846
Install Shelfs,Home Assist,Township,5.25,527,Monday,1,Low,Rainy,786
Install Shelfs,Home Assist,Cantt,5.56,801,Friday,0,Medium,Rainy,846
Install Shelfs,Home Assist,Model Town,0.38,1091,Tuesday,1,Low,Rainy,862
Install Shelfs,Home Assist,Sultanpura,7.61,474,Friday,0,High,Foggy,784
Install Shelfs,Home Assist,Androon Lahore,1.72,99,Wednesday,1,High,Sunny,722
Install Shelfs,Home Assist,Sultanpura,3.35,1217,Wednesday,0,Medium,Rainy,839
Install Shelfs,Home Assist,Gulberg,7.34,459,Tuesday,1,High,Sunny,725
Install Shelfs,Home Assist,Garden Town,1.52,276,Sunday,0,Medium,Foggy,794
Install Shelfs,Home Assist,Township,2.71,612,Wednesday,1,Medium,Sunny,781
Install Shelfs,Home Assist,DHA,7.82,415,Thursday,1,Medium,Foggy,845
Install Shelfs,Home Assist,DHA,5.62,789,Thursday,0,Medium,Clear,845
Install Shelfs,Home Assist,Androon Lahore,7.06,442,Tuesday,0,High,Sunny,703
Install Shelfs,Home Assist,Valencia,3.49,1191,Sunday,0,Low,Foggy,796
Install Shelfs,Home Assist,Sultanpura,4.82,259,Monday,0,Low,Sunny,747
Install Shelfs,Home Assist,Township,2.63,1020,Saturday,0,High,Sunny,825
Install Shelfs,Home Assist,Garhi Shahu,4.5,435,Friday,1,Low,Sunny,706
Install Shelfs,Home Assist,Shadman,5.48,535,Sunday,0,Low,Foggy,824
Install Shelfs,Home Assist,Shadman,4.22,452,Thursday,1,Low,Clear,804
Install Shelfs,Home Assist,Cantt,6.01,370,Tuesday,1,Low,Foggy,858
Install Shelfs,Home Assist,Askari,0.71,1199,Thursday,0,Medium,Foggy,787
Install Shelfs,Home Assist,Cantt,6.68,143,Sunday,0,Low,Clear,861
Install Shelfs,Home Assist,Garhi Shahu,6.25,1273,Thursday,0,High,Rainy,750
Install Shelfs,Home Assist,Gulberg,3.08,1349,Tuesday,1,High,Rainy,828
Install Shelfs,Home Assist,Cantt,0.83,564,Wednesday,0,Medium,Sunny,875
Install Shelfs,Home Assist,Askari,4.74,753,Thursday,1,Low,Rainy,726
Install Shelfs,Home Assist,Sultanpura,5.53,59,Sunday,0,High,Sunny,800
Install Shelfs,Home Assist,Lake City,3.86,175,Friday,1,Medium,Rainy,875
Install Shelfs,Home Assist,Township,0.94,543,Friday,1,High,Clear,800
Install Shelfs,Home Assist,Model Town,6.83,458,Monday,1,Medium,Foggy,836
Install Shelfs,Home Assist,Iqbal Town,0.87,279,Monday,0,High,Sunny,757
Install Shelfs,Home Assist,Wapda Town,4.07,1382,Thursday,1,Low,Sunny,735
Install Shelfs,Home Assist,Garhi Shahu,6.39,1180,Wednesday,1,High,Clear,742
Install Shelfs,Home Assist,Sultanpura,1.12,147,Thursday,1,Medium,Foggy,833
Install Shelfs,Home Assist,Sultanpura,1.69,935,Tuesday,0,High,Clear,727
Install Shelfs,Home Assist,Shadman,1.05,1230,Sunday,1,Low,Clear,784
Install Shelfs,Home Assist,Askari,0.21,1128,Tuesday,1,Low,Sunny,803
Install Shelfs,Home Assist,Bahria Town,0.81,99,Friday,1,Medium,Clear,717
Install Shelfs,Home Assist,DHA,6.64,222,Sunday,0,Low,Sunny,888
Install Shelfs,Home Assist,Sultanpura,5.82,428,Saturday,1,High,Clear,781
Install Shelfs,Home Assist,Androon Lahore,1.5,828,Monday,1,High,Clear,727
Install Shelfs,Home Assist,DHA,2.91,338,Monday,0,Medium,Foggy,888
Install Shelfs,Home Assist,Johar Town,5.07,584,Tuesday,0,High,Foggy,816
Install Shelfs,Home Assist,Gulberg,4.69,818,Friday,1,Low,Foggy,877
Install Shelfs,Home Assist,Iqbal Town,6.21,212,Thursday,0,High,Sunny,783
Install Shelfs,Home Assist,Gulberg,7.42,680,Saturday,1,High,Sunny,697
Install Shelfs,Home Assist,Shadman,2.97,947,Friday,0,High,Foggy,883
Install Shelfs,Home Assist,Misri Shah,0.56,1229,Saturday,1,High,Clear,747
Install Shelfs,Home Assist,Garden Town,6.76,957,Tuesday,0,Medium,Foggy,862
Install Shelfs,Home Assist,Garhi Shahu,4.12,781,Friday,0,Low,Rainy,725
Install Shelfs,Home Assist,Lake City,0.2,937,Thursday,0,High,Foggy,836
Install Shelfs,Home Assist,Gulberg,2.39,1073,Thursday,1,Low,Rainy,758
Install Shelfs,Home Assist,Askari,4.17,189,Tuesday,1,Medium,Clear,882
Install Shelfs,Home Assist,Sultanpura,6.88,645,Friday,0,High,Sunny,734
Hang Room clock,Home Assist,Gulberg,4.46,495,Friday,0,Medium,Clear,569
Hang Room clock,Home Assist,Sultanpura,5.62,950,Wednesday,0,High,Rainy,558
Hang Room clock,Home Assist,Township,5.94,83,Friday,1,High,Sunny,516
Hang Room clock,Home Assist,Valencia,2.27,1339,Saturday,1,Low,Rainy,520
Hang Room clock,Home Assist,Johar Town,1.25,282,Tuesday,1,High,Clear,586
Hang Room clock,Home Assist,Bahria Town,3.04,942,Tuesday,1,High,Clear,557
Hang Room clock,Home Assist,Township,6.77,925,Wednesday,0,High,Foggy,417
Hang Room clock,Home Assist,Township,6.27,1158,Saturday,0,High,Rainy,463
Hang Room clock,Home Assist,Androon Lahore,5.54,1399,Saturday,1,Medium,Rainy,441
Hang Room clock,Home Assist,Cantt,5.57,680,Sunday,0,High,Clear,575
Hang Room clock,Home Assist,Garden Town,3.57,1280,Friday,0,Low,Sunny,542
Hang Room clock,Home Assist,Shadman,5.41,1083,Sunday,0,Low,Sunny,492
Hang Room clock,Home Assist,Cantt,4.79,944,Saturday,0,Low,Clear,538
Hang Room clock,Home Assist,Cantt,0.65,279,Sunday,1,Low,Sunny,533
Hang Room clock,Home Assist,Iqbal Town,6.44,690,Friday,1,Medium,Clear,421
Hang Room clock,Home Assist,Garhi Shahu,4.16,779,Sunday,1,Low,Foggy,427
Hang Room clock,Home Assist,Model Town,4.4,934,Tuesday,1,Medium,Sunny,554
Hang Room clock,Home Assist,Bahria Town,6.39,368,Sunday,0,Medium,Sunny,429
Hang Room clock,Home Assist,Sultanpura,6.32,1406,Sunday,1,Medium,Foggy,519
